pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Potato virus A,4,SVC_RBF,0.6021,0.0214,779,779
Potato virus A,4,NuSVC,0.5994,0.0284,779,779
Potato virus A,4,LogisticRegression,0.5465,0.0085,779,779
Potato virus A,4,KNN,0.5935,0.0189,779,779
Potato virus A,4,RandomForest,0.5468,0.0171,779,779
Potato virus A,4,MLP,0.5626,0.0291,779,779
Potato virus A,5,GaussianNB,0.6245,0.028,779,779
Potato virus A,5,BernoulliNB,0.5258,0.0187,779,779
Potato virus A,5,SVC_RBF,0.5859,0.0211,779,779
Potato virus A,5,NuSVC,0.5744,0.02,779,779
Potato virus A,5,LogisticRegression,0.5417,0.0147,779,779
Potato virus A,5,KNN,0.6079,0.0262,779,779
Potato virus A,5,RandomForest,0.5497,0.0266,779,779
Potato virus A,5,MLP,0.5385,0.0242,779,779
Potato virus Y,2,GaussianNB,0.6479,0.0185,1168,1168
Potato virus Y,2,BernoulliNB,0.543,0.0441,1168,1168
Potato virus Y,2,SVC_RBF,0.6498,0.0261,1168,1168
Potato virus Y,2,NuSVC,0.6093,0.0163,1168,1168
Potato virus Y,2,LogisticRegression,0.5641,0.0192,1168,1168
Potato virus Y,2,KNN,0.6039,0.0204,1168,1168
Potato virus Y,2,RandomForest,0.585,0.0161,1168,1168
Potato virus Y,2,MLP,0.5764,0.0188,1168,1168
Potato virus Y,3,GaussianNB,0.6477,0.0097,1168,1168
Potato virus Y,3,BernoulliNB,0.5417,0.0157,1168,1168
Potato virus Y,3,SVC_RBF,0.6376,0.0143,1168,1168
Potato virus Y,3,NuSVC,0.6086,0.0191,1168,1168
Potato virus Y,3,LogisticRegression,0.5577,0.0232,1168,1168
Potato virus Y,3,KNN,0.6308,0.0177,1168,1168
Potato virus Y,3,RandomForest,0.5579,0.0269,1168,1168
Potato virus Y,3,MLP,0.5519,0.026,1168,1168
Potato virus Y,4,GaussianNB,0.6524,0.0064,1168,1168
Potato virus Y,4,BernoulliNB,0.5435,0.0146,1168,1168
Potato virus Y,4,SVC_RBF,0.6359,0.0234,1168,1168
Potato virus Y,4,NuSVC,0.6132,0.024,1168,1168
Potato virus Y,4,LogisticRegression,0.5657,0.0112,1168,1168
Potato virus Y,4,KNN,0.6281,0.0243,1168,1168
Potato virus Y,4,RandomForest,0.5935,0.0243,1168,1168
Potato virus Y,4,MLP,0.5578,0.0086,1168,1168
Potato virus Y,5,GaussianNB,0.6741,0.0099,1168,1168
Potato virus Y,5,BernoulliNB,0.5449,0.0191,1168,1168
Potato virus Y,5,SVC_RBF,0.6329,0.0196,1168,1168
Potato virus Y,5,NuSVC,0.6027,0.0202,1168,1168
Potato virus Y,5,LogisticRegression,0.5836,0.0188,1168,1168
Potato virus Y,5,KNN,0.6315,0.0125,1168,1168
Potato virus Y,5,RandomForest,0.5826,0.0297,1168,1168
Potato virus Y,5,MLP,0.5433,0.0211,1168,1168
Ralstonia solanacearum,2,GaussianNB,0.671,0.0139,432,432
Ralstonia solanacearum,2,BernoulliNB,0.5386,0.0342,432,432
Ralstonia solanacearum,2,SVC_RBF,0.6558,0.0203,432,432
Ralstonia solanacearum,2,NuSVC,0.6315,0.0304,432,432
Ralstonia solanacearum,2,LogisticRegression,0.5853,0.0277,432,432
Ralstonia solanacearum,2,KNN,0.6274,0.0338,432,432
Ralstonia solanacearum,2,RandomForest,0.6102,0.0466,432,432
